wall_time,session_ms,code,kind,delta_x,delta_y
2026-06-20T19:14:18.1906645+02:00,21634.334,MOVE,MouseMove,1,0
2026-06-20T19:14:18.1906847+02:00,21634.355,MOVE,MouseMove,1,0
2026-06-20T19:14:18.1906907+02:00,21634.361,MOVE,MouseMove,1,1
2026-06-20T19:14:18.1906954+02:00,21634.365,MOVE,MouseMove,1,0
2026-06-20T19:14:18.1906998+02:00,21634.37,MOVE,MouseMove,3,0
2026-06-20T19:14:18.1907042+02:00,21634.374,MOVE,MouseMove,4,0
2026-06-20T19:14:18.1907085+02:00,21634.378,MOVE,MouseMove,6,0
2026-06-20T19:14:18.1907128+02:00,21634.383,MOVE,MouseMove,5,0
2026-06-20T19:14:18.1995511+02:00,21643.22,MOVE,MouseMove,7,0
2026-06-20T19:14:18.2065568+02:00,21650.226,MOVE,MouseMove,6,0
2026-06-20T19:14:18.2152920+02:00,21658.961,MOVE,MouseMove,8,0
2026-06-20T19:14:18.2226039+02:00,21666.273,MOVE,MouseMove,8,0
2026-06-20T19:14:18.2305450+02:00,21674.214,MOVE,MouseMove,9,2
2026-06-20T19:14:18.2387743+02:00,21682.442,A,KeyUp,0,0
2026-06-20T19:14:18.2785766+02:00,21722.246,MOVE,MouseMove,11,1
2026-06-20T19:14:18.2785945+02:00,21722.264,MOVE,MouseMove,8,1
2026-06-20T19:14:18.2785975+02:00,21722.267,MOVE,MouseMove,4,1
2026-06-20T19:14:18.2786071+02:00,21722.276,D,KeyDown,0,0
2026-06-20T19:14:18.3512429+02:00,21794.912,M1,MouseDown,0,0
2026-06-20T19:14:18.3911379+02:00,21834.807,D,KeyUp,0,0
2026-06-20T19:14:18.4445256+02:00,21888.195,M1,MouseUp,0,0
2026-06-20T19:14:18.4994765+02:00,21943.145,MOVE,MouseMove,0,1
2026-06-20T19:14:18.4995206+02:00,21943.19,MOVE,MouseMove,0,1
2026-06-20T19:14:18.4995249+02:00,21943.195,MOVE,MouseMove,-1,0
2026-06-20T19:14:18.4995290+02:00,21943.199,MOVE,MouseMove,-3,3
2026-06-20T19:14:18.4995351+02:00,21943.204,A,KeyDown,0,0
2026-06-20T19:14:18.5423045+02:00,21985.974,MOVE,MouseMove,-2,2
2026-06-20T19:14:18.5423213+02:00,21985.991,MOVE,MouseMove,0,1
2026-06-20T19:14:18.6398772+02:00,22083.545,A,KeyUp,0,0
2026-06-20T19:14:18.7073510+02:00,22151.02,M1,MouseDown,0,0
2026-06-20T19:14:18.7531877+02:00,22196.856,D,KeyDown,0,0
2026-06-20T19:14:18.8085547+02:00,22252.224,M1,MouseUp,0,0
2026-06-20T19:14:18.8681673+02:00,22311.836,D,KeyUp,0,0
2026-06-20T19:14:18.9127355+02:00,22356.404,A,KeyDown,0,0
2026-06-20T19:14:19.0483142+02:00,22491.983,A,KeyUp,0,0
2026-06-20T19:14:19.1094700+02:00,22553.136,D,KeyDown,0,0
2026-06-20T19:14:19.1658597+02:00,22609.529,M1,MouseDown,0,0
2026-06-20T19:14:19.2246264+02:00,22668.296,M1,MouseUp,0,0
2026-06-20T19:14:19.3036372+02:00,22747.306,D,KeyUp,0,0
2026-06-20T19:14:19.3502170+02:00,22793.886,MOVE,MouseMove,0,-1
2026-06-20T19:14:19.3502786+02:00,22793.947,A,KeyDown,0,0
